NUMPED;NUMITEM;CODPROD;QTDE;VALUNIT;UNID;ALIQICMS;COMISSAO;STICMS;CFOP;REDUCBASEICMS
557468;3;992;6;5.9;Lt;12;2;60;5405;0
557468;4;2207;12;6.7;Un;0;0;0;5102;0
557468;5;122;1.508;38.99;Kg;12;0;0;5102;0
557468;6;213;1.512;20.05;Kg;0;0;0;5102;0
557469;1;442;1;27.93;Bd;0;0;0;5102;0
557469;2;224;2.5;22.86;Kg;0;0;0;5102;0
557469;3;150;1.19;41.76;Kg;18;0;20;5102;33.33
557469;4;124;1;16.47;Un;18;0;20;5102;33.33
557469;5;314;1;83.52;Un;18;0;20;5102;33.33
557469;6;684;1;22.23;Un;18;0;20;5102;33.33
557469;7;412;2;7.93;Kg;18;0;20;5102;33.33
557469;8;374;1;5.29;Lt;18;0;20;5102;12
557469;9;365;1;4.37;Lt;18;0;0;5102;0
557469;10;378;1;23.25;Un;18;0;20;5102;33.33
