CODCLIFOR;TIPOCF;CODREPRES;NOMEFAN;CIDADE;UF;CODMUNICIPIO;TIPOPESSOA;COBRBANC;PRAZOPGTO
1599;1;32;Cliente 1599;SÃO PAULO;SP;3550308;2;-1;14
1600;1;28;Cliente 1600;SÃO PAULO;SP;3550308;2;-1;14
1601;1;27;Cliente 1601;SÃO PAULO;SP;3550308;2;-1;14
1602;1;29;Cliente 1602;SÃO PAULO;SP;3550308;2;-1;21
1603;1;9;Cliente 1603;SÃO PAULO;SP;3550308;2;-1;14
1604;1;29;Cliente 1604;SÃO PAULO;SP;3550308;2;-1;21
1605;1;32;Cliente 1605;SÃO PAULO;SP;3550308;2;-1;28
1606;1;27;Cliente 1606;SÃO PAULO;SP;3550308;2;-1;14
1608;1;9;Cliente 1608;SÃO PAULO;SP;3550308;2;0;0
1609;1;30;Cliente 1609;SÃO PAULO;SP;3550308;2;-1;21
1610;1;32;Cliente 1610;SÃO PAULO;SP;3550308;2;-1;14
